"Story","Title","Result","Date","Stability","Duration (s)"
"API","GET Method","SUCCESS","2021-11-20T10:38:29.05-05:00[America/Bogota]","0.0","6.77"
"API","POST Method","SUCCESS","2021-11-20T10:38:36.703-05:00[America/Bogota]","0.0","4.39"
