"Story","Title","Result","Date","Stability","Duration (s)"
"Login to the App","Login Failed due to incorrect UserName","SUCCESS","2021-11-15T13:48:38.643-05:00[America/Bogota]","0.0","6.12"
"Login to the App","Login Failed due to incorrect Password","SUCCESS","2021-11-15T13:48:44.764-05:00[America/Bogota]","0.0","7.08"
"Login to the App","Validate Mandatory UserName Field","SUCCESS","2021-11-15T13:48:51.844-05:00[America/Bogota]","0.0","4.89"
"Login to the App","Validate Mandatory Password Field","SUCCESS","2021-11-15T13:48:56.74-05:00[America/Bogota]","0.0","5.43"
"Login to the App","Login Successfully","SUCCESS","2021-11-15T13:49:02.174-05:00[America/Bogota]","0.0","5.18"
