"Story","Title","Result","Date","Stability","Duration (s)"
"Login to the App","Login Failed due to incorrect UserName","SUCCESS","2021-11-13T13:42:42.329-05:00[America/Bogota]","0.0","4.85"
"Login to the App","Login Failed due to incorrect Password","SUCCESS","2021-11-13T13:42:47.181-05:00[America/Bogota]","0.0","4.35"
"Login to the App","Validate Mandatory UserName Field","SUCCESS","2021-11-13T13:42:51.529-05:00[America/Bogota]","0.0","4.22"
"Login to the App","Validate Mandatory Password Field","SUCCESS","2021-11-13T13:42:55.746-05:00[America/Bogota]","0.0","4.2"
"Login to the App","Login Successfully","SUCCESS","2021-11-13T13:42:59.946-05:00[America/Bogota]","0.0","4.63"
